# T(K), Cp(J/mol/K), Cp(J/mol/K), Cp(J/mol/K)
7.363636363636362603e+01, 2.921680242848158926e+01, 2.921680242848158926e+01, 2.921680242848158926e+01
7.454545454545454675e+01, 2.930411220297240504e+01, 2.930411220297240504e+01, 2.930411220297240504e+01
7.545454545454545325e+01, 2.938584743795486176e+01, 2.938584743795486176e+01, 2.938584743795486176e+01
7.636363636363635976e+01, 2.946216068967344626e+01, 2.946216068967344626e+01, 2.946216068967344626e+01
7.727272727272728048e+01, 2.953321197914154439e+01, 2.953321197914154439e+01, 2.953321197914154439e+01
7.818181818181818699e+01, 2.959916746325238179e+01, 2.959916746325238179e+01, 2.959916746325238179e+01
7.909090909090909349e+01, 2.966019819696776239e+01, 2.966019819696776239e+01, 2.966019819696776239e+01
8.000000000000000000e+01, 2.971647898547722377e+01, 2.971647898547722377e+01, 2.971647898547722377e+01
8.090909090909090651e+01, 2.976818732456909444e+01, 2.976818732456909444e+01, 2.976818732456909444e+01
8.181818181818181301e+01, 2.981550242691603714e+01, 2.981550242691603714e+01, 2.981550242691603714e+01
8.272727272727271952e+01, 2.985860433153851545e+01, 2.985860433153851545e+01, 2.985860433153851545e+01
8.363636363636362603e+01, 2.989767309336068735e+01, 2.989767309336068735e+01, 2.989767309336068735e+01
8.454545454545454675e+01, 2.993288804950276472e+01, 2.993288804950276472e+01, 2.993288804950276472e+01
8.545454545454545325e+01, 2.996442715875478768e+01, 2.996442715875478768e+01, 2.996442715875478768e+01
8.636363636363635976e+01, 2.999246641053855100e+01, 2.999246641053855100e+01, 2.999246641053855100e+01
8.727272727272726627e+01, 3.001717929957982633e+01, 3.001717929957982633e+01, 3.001717929957982633e+01
8.818181818181817277e+01, 3.003873636247454826e+01, 3.003873636247454826e+01, 3.003873636247454826e+01
8.909090909090909349e+01, 3.005730477233459652e+01, 3.005730477233459652e+01, 3.005730477233459652e+01
9.000000000000000000e+01, 3.007304798773278165e+01, 3.007304798773278165e+01, 3.007304798773278165e+01
9.090909090909090651e+01, 3.008612545223069645e+01, 3.008612545223069645e+01, 3.008612545223069645e+01
9.181818181818181301e+01, 3.009669234085842149e+01, 3.009669234085842149e+01, 3.009669234085842149e+01
9.272727272727271952e+01, 3.010489935002163620e+01, 3.010489935002163620e+01, 3.010489935002163620e+01
9.363636363636364024e+01, 3.011089252743072464e+01, 3.011089252743072464e+01, 3.011089252743072464e+01
9.454545454545454675e+01, 3.011481313878010013e+01, 3.011481313878010013e+01, 3.011481313878010013e+01
9.545454545454545325e+01, 3.011679756804567987e+01, 3.011679756804567987e+01, 3.011679756804567987e+01
9.636363636363635976e+01, 3.011697724841674173e+01, 3.011697724841674173e+01, 3.011697724841674173e+01
9.727272727272726627e+01, 3.011547862102860051e+01, 3.011547862102860051e+01, 3.011547862102860051e+01
9.818181818181817277e+01, 3.011242311881591505e+01, 3.011242311881591505e+01, 3.011242311881591505e+01
9.909090909090909349e+01, 3.010792717296040877e+01, 3.010792717296040877e+01, 3.010792717296040877e+01
