# T(K), Cp(J/mol/K), Cp(J/mol/K), Cp(J/mol/K), rho(mol/m3), rho(mol/m3), rho(mol/m3)
4.454545454545454675e+01, 4.975616821696086589e+01, 4.831248189074360511e+01, 3.322245232220463151e+01, 7.927661038978610122e+03, 2.839749789858825170e+04, 3.608943720809807564e+04
4.545454545454545325e+01, 4.599886801758917443e+01, 5.018489690676744885e+01, 3.372621488022247149e+01, 7.483368290338123188e+03, 2.748020707749733629e+04, 3.565744344251589791e+04
4.636363636363635976e+01, 4.325816895658832095e+01, 5.193923089273445726e+01, 3.422441924296333582e+01, 7.109480829874826668e+03, 2.653494796670757569e+04, 3.522389824999926350e+04
4.727272727272727337e+01, 4.118681621174965102e+01, 5.344913198613410543e+01, 3.471575956605886404e+01, 6.787705595777966664e+03, 2.556978417210725456e+04, 3.478899200103111070e+04
4.818181818181817988e+01, 3.958019500072172292e+01, 5.458694723685896122e+01, 3.519886749020564309e+01, 6.506005684340696462e+03, 2.459622876070806160e+04, 3.435293280511986086e+04
4.909090909090909349e+01, 3.830955236880926407e+01, 5.525870490226055409e+01, 3.567231099597410093e+01, 6.256048618087905197e+03, 2.362828915860281268e+04, 3.391594844987431134e+04
5.000000000000000000e+01, 3.728959743223947498e+01, 5.543392653869224773e+01, 3.613459592702771772e+01, 6.031832841514672509e+03, 2.268060610216325949e+04, 3.347828826913707599e+04
5.090909090909090651e+01, 3.646144589222498666e+01, 5.515234271895738516e+01, 3.658417105928342750e+01, 5.828895554199178150e+03, 2.176630004128472501e+04, 3.304022482696037332e+04
5.181818181818181301e+01, 3.578304062426300902e+01, 5.450465922825419796e+01, 3.701943755117397927e+01, 5.643830025102051877e+03, 2.089534355836593386e+04, 3.260205529033927451e+04
5.272727272727272663e+01, 3.522347940266016053e+01, 5.360142423593778460e+01, 3.743876348181068892e+01, 5.473978003369816179e+03, 2.007393052157113561e+04, 3.216410235436109724e+04
5.363636363636363313e+01, 3.475950534487969890e+01, 5.254669784557618328e+01, 3.784050395423285806e+01, 5.317226265756717112e+03, 1.930475513006358960e+04, 3.172671458097813593e+04
5.454545454545454675e+01, 3.437325333757890178e+01, 5.142404869860263972e+01, 3.822302690304291417e+01, 5.171867737272283193e+03, 1.858779303507936856e+04, 3.129026601914483399e+04
5.545454545454545325e+01, 3.405075616105853697e+01, 5.029336832103716404e+01, 3.858474430582820247e+01, 5.036504096325988939e+03, 1.792118698937490990e+04, 3.085515499149917741e+04
5.636363636363635976e+01, 3.378092647732142950e+01, 4.919372264662784744e+01, 3.892414797986367603e+01, 4.909975855591947038e+03, 1.730200617991435138e+04, 3.042180196228741625e+04
5.727272727272727337e+01, 3.355484608097633270e+01, 4.814824560552610677e+01, 3.923984859373550904e+01, 4.791311128841207392e+03, 1.672680407319628648e+04, 2.999064644288513227e+04
5.818181818181817988e+01, 3.336525890058684496e+01, 4.716889536799712346e+01, 3.953061600028680544e+01, 4.679687404844549746e+03, 1.619198713208465051e+04, 2.956214294356404935e+04
5.909090909090908639e+01, 3.320620232759961965e+01, 4.626026318829787698e+01, 3.979541857744100497e+01, 4.574402563582360926e+03, 1.569403796431542469e+04, 2.913675603989326919e+04
6.000000000000000000e+01, 3.307273444692291520e+01, 4.542233610161185453e+01, 4.003345902253984434e+01, 4.474852581267680762e+03, 1.522963799771344566e+04, 2.871495468447017265e+04
6.090909090909090651e+01, 3.296072901848647518e+01, 4.465238534466941189e+01, 4.024420404540576612e+01, 4.380514156528043713e+03, 1.479572562147176541e+04, 2.829720595347887502e+04
6.181818181818182012e+01, 3.286671914305835429e+01, 4.394620628141559848e+01, 4.042740567791584283e+01, 4.290931011426946498e+03, 1.438951517356652039e+04, 2.788396846630258733e+04
6.272727272727272663e+01, 3.278777645654550810e+01, 4.329890709941813043e+01, 4.058311245560613401e+01, 4.205702973883628147e+03, 1.400849348979857496e+04, 2.747568574908524533e+04
6.363636363636363313e+01, 3.272141662165820009e+01, 4.270539535282229338e+01, 4.071166947801571467e+01, 4.124477191289702205e+03, 1.365040452166722753e+04, 2.707277982528779103e+04
6.454545454545454675e+01, 3.266552453980534665e+01, 4.216066724507966512e+01, 4.081370722963134057e+01, 4.046940995583912354e+03, 1.331322838884773773e+04, 2.667564530593446034e+04
