# T(K), P(Pa), rhog(mol/m3), rhol(mol/m3)
3.528601197604790229e+01, 1.082243320411841385e+06, 6.059150839498511232e+03, 2.946044475152476298e+04
3.540347305389221333e+01, 1.101377340583868325e+06, 6.205265153160530645e+03, 2.926884156102669658e+04
3.552093413173653147e+01, 1.120771413601346314e+06, 6.356538546921653506e+03, 2.907234402356513965e+04
3.563839520958084250e+01, 1.140429496658032527e+06, 6.513333789725727001e+03, 2.887059580956628633e+04
3.575585628742515354e+01, 1.160355734182643238e+06, 6.676056358570691373e+03, 2.866319850824684545e+04
3.587331736526946457e+01, 1.180554475458385423e+06, 6.845161556169930918e+03, 2.844970459714578828e+04
3.599077844311377561e+01, 1.201030294517545262e+06, 7.021163197349434085e+03, 2.822960885684229288e+04
3.610823952095808664e+01, 1.221788012692569522e+06, 7.204644303514995045e+03, 2.800233779393678560e+04
3.622570059880239768e+01, 1.242832724297532113e+06, 7.396270396988369612e+03, 2.776723648359787330e+04
3.634316167664670871e+01, 1.264169826014432358e+06, 7.596806203461263067e+03, 2.752355202701338203e+04
3.646062275449101975e+01, 1.285805050694419304e+06, 7.807136883945418958e+03, 2.727041250666226915e+04
3.657808383233533078e+01, 1.307744506458777934e+06, 8.028295379253960164e+03, 2.700679986151694902e+04
3.669554491017964892e+01, 1.329994722205328755e+06, 8.261498145271256362e+03, 2.673151440977760649e+04
3.681300598802395996e+01, 1.352562700930067105e+06, 8.508192630208859555e+03, 2.644312767487782548e+04
3.693046706586827099e+01, 1.375455982660793699e+06, 8.770121545743684692e+03, 2.613991847025000970e+04
3.704792814371258203e+01, 1.398682719335338566e+06, 9.049411765410608496e+03, 2.581978441708165337e+04
3.716538922155689306e+01, 1.422251764687236398e+06, 9.348700397389751743e+03, 2.548011635434856362e+04
3.728285029940120410e+01, 1.446172783214329276e+06, 9.671318906055392290e+03, 2.511761476912323633e+04
3.740031137724551513e+01, 1.470456383740540594e+06, 1.002157160681820824e+04, 2.472801191494812883e+04
3.751777245508982617e+01, 1.495114285156403435e+06, 1.040517526219839965e+04, 2.430563286029174196e+04
3.763523353293413720e+01, 1.520159524988026591e+06, 1.082999080799773583e+04, 2.384266436012845588e+04
3.775269461077844824e+01, 1.545606726076023653e+06, 1.130732713619775495e+04, 2.332785144260516608e+04
3.787015568862275927e+01, 1.571472443884201348e+06, 1.185448490448800112e+04, 2.274395333754884268e+04
3.798761676646707031e+01, 1.597775628592432244e+06, 1.250039756792265871e+04, 2.206210065375565318e+04
3.810507784431138134e+01, 1.624538255629382329e+06, 1.330086644262149457e+04, 2.122655495849651197e+04
3.834000000000000341e+01, 1.679550487916323589e+06, 1.715699392358237310e+04, 1.715699392358237310e+04
